@attribute 'Gabor Features51' numeric
@attribute 'Gabor Features52' numeric
@attribute 'Gabor Features53' numeric
@attribute 'Gabor Features54' numeric
@attribute 'Gabor Features55' numeric
@attribute 'Gabor Features56' numeric
@attribute 'Gabor Features57' numeric
@attribute 'Gabor Features58' numeric
@attribute 'Gabor Features59' numeric
@attribute class {K1,K2,K3,K4,K5,K6,K7,K8}

@data

10.769884,0.074402,10.773504,0.074427,10.773504,0.074427,10.769884,0.074402,10.773504,0.074427,10.773504,0.074427,11.13014,0.076891,11.133881,0.076917,11.133881,0.076917,11.13014,0.076891,11.133881,0.076917,11.133881,0.076917,11.119848,0.07682,11.123586,0.076845,11.123586,0.076845,11.119848,0.07682,11.123586,0.076845,11.123586,0.076845,11.090689,0.076618,11.094417,0.076644,11.094417,0.076644,11.090689,0.076618,11.094417,0.076644,11.094417,0.076644,11.007796,0.076045,11.011496,0.076071,11.011496,0.076071,11.007796,0.076045,11.011496,0.076071,11.011496,0.076071,K1
11.269796,0.083151,11.273585,0.083179,11.273585,0.083179,11.269796,0.083151,11.273585,0.083179,11.273585,0.083179,11.646774,0.085933,11.650689,0.085962,11.650689,0.085962,11.646774,0.085933,11.650689,0.085962,11.650689,0.085962,11.636005,0.085853,11.639917,0.085882,11.639917,0.085882,11.636005,0.085853,11.639917,0.085882,11.639917,0.085882,11.605492,0.085628,11.609393,0.085657,11.609393,0.085657,11.605492,0.085628,11.609393,0.085657,11.609393,0.085657,11.518751,0.084988,11.522623,0.085017,11.522623,0.085017,11.518751,0.084988,11.522623,0.085017,11.522623,0.085017,K1
7.447099,0.057767,7.449603,0.057786,7.449603,0.057786,7.447099,0.057767,7.449603,0.057786,7.449603,0.057786,7.696207,0.059699,7.698794,0.059719,7.698794,0.059719,7.696207,0.059699,7.698794,0.059719,7.698794,0.059719,7.689091,0.059644,7.691675,0.059664,7.691675,0.059664,7.689091,0.059644,7.691675,0.059664,7.691675,0.059664,7.668928,0.059487,7.671505,0.059507,7.671505,0.059507,7.668928,0.059487,7.671505,0.059507,7.671505,0.059507,7.611609,0.059043,7.614168,0.059062,7.614168,0.059062,7.611609,0.059043,7.614168,0.059062,7.614168,0.059062,K1
15.8988,0.077911,15.904144,0.077938,15.904144,0.077938,15.8988,0.077911,15.904144,0.077938,15.904144,0.077938,16.430619,0.080518,16.436142,0.080545,16.436142,0.080545,16.430619,0.080518,16.436142,0.080545,16.436142,0.080545,16.415427,0.080443,16.420945,0.08047,16.420945,0.08047,16.415427,0.080443,16.420945,0.08047,16.420945,0.08047,16.372381,0.080232,16.377885,0.080259,16.377885,0.080259,16.372381,0.080232,16.377885,0.080259,16.377885,0.080259,16.250012,0.079632,16.255474,0.079659,16.255474,0.079659,16.250012,0.079632,16.255474,0.079659,16.255474,0.079659,K1
7.950737,0.071156,7.953409,0.07118,7.953409,0.07118,7.950737,0.071156,7.953409,0.07118,7.953409,0.07118,8.216691,0.073536,8.219453,0.073561,8.219453,0.073561,8.216691,0.073536,8.219453,0.073561,8.219453,0.073561,8.209094,0.073468,8.211853,0.073493,8.211853,0.073493,8.209094,0.073468,8.211853,0.073493,8.211853,0.073493,8.187567,0.073275,8.190319,0.0733,8.190319,0.0733,8.187567,0.073275,8.190319,0.0733,8.190319,0.0733,8.126372,0.072728,8.129104,0.072752,8.129104,0.072752,8.126372,0.072728,8.129104,0.072752,8.129104,0.072752,K1
8.19722,0.071476,8.199975,0.0715,8.199975,0.0715,8.19722,0.071476,8.199975,0.0715,8.199975,0.0715,8.471419,0.073866,8.474266,0.073891,8.474266,0.073891,8.471419,0.073866,8.474266,0.073891,8.474266,0.073891,8.463586,0.073798,8.466431,0.073823,8.466431,0.073823,8.463586,0.073798,8.466431,0.073823,8.466431,0.073823,8.441392,0.073605,8.44423,0.073629,8.44423,0.073629,8.441392,0.073605,8.44423,0.073629,8.44423,0.073629,8.3783,0.073054,8.381116,0.073079,8.381116,0.073079,8.3783,0.073054,8.381116,0.073079,8.381116,0.073079,K1
8.893959,0.089358,8.896948,0.089388,8.896948,0.089388,8.893959,0.089358,8.896948,0.089388,8.896948,0.089388,9.191464,0.092347,9.194554,0.092378,9.194554,0.092378,9.191464,0.092347,9.194554,0.092378,9.194554,0.092378,9.182965,0.092262,9.186052,0.092293,9.186052,0.092293,9.182965,0.092262,9.186052,0.092293,9.186052,0.092293,9.158885,0.09202,9.161964,0.092051,9.161964,0.092051,9.158885,0.09202,9.161964,0.092051,9.161964,0.092051,9.09043,0.091332,9.093486,0.091363,9.093486,0.091363,9.09043,0.091332,9.093486,0.091363,9.093486,0.091363,K1
7.540582,0.040399,7.543117,0.040412,7.543117,0.040412,7.540582,0.040399,7.543117,0.040412,7.543117,0.040412,7.792817,0.04175,7.795436,0.041764,7.795436,0.041764,7.792817,0.04175,7.795436,0.041764,7.795436,0.041764,7.785611,0.041712,7.788228,0.041726,7.788228,0.041726,7.785611,0.041712,7.788228,0.041726,7.788228,0.041726,7.765195,0.041602,7.767805,0.041616,7.767805,0.041616,7.765195,0.041602,7.767805,0.041616,7.767805,0.041616,7.707157,0.041291,7.709748,0.041305,7.709748,0.041305,7.707157,0.041291,7.709748,0.041305,7.709748,0.041305,K1
4.995244,0.04,4.996923,0.040013,4.996923,0.040013,4.995244,0.04,4.996923,0.040013,4.996923,0.040013,5.162336,0.041338,5.164071,0.041352,5.164071,0.041352,5.162336,0.041338,5.164071,0.041352,5.164071,0.041352,5.157563,0.0413,5.159296,0.041313,5.159296,0.041313,5.157563,0.0413,5.159296,0.041313,5.159296,0.041313,5.144038,0.041191,5.145767,0.041205,5.145767,0.041205,5.144038,0.041191,5.145767,0.041205,5.145767,0.041205,5.105591,0.040883,5.107307,0.040897,5.107307,0.040897,5.105591,0.040883,5.107307,0.040897,5.107307,0.040897,K1
3.878248,0.030023,3.879552,0.030033,3.879552,0.030033,3.878248,0.030023,3.879552,0.030033,3.879552,0.030033,4.007976,0.031027,4.009323,0.031037,4.009323,0.031037,4.007976,0.031027,4.009323,0.031037,4.009323,0.031037,4.00427,0.030998,4.005616,0.031009,4.005616,0.031009,4.00427,0.030998,4.005616,0.031009,4.005616,0.031009,3.99377,0.030917,3.995113,0.030927,3.995113,0.030927,3.99377,0.030917,3.995113,0.030927,3.995113,0.030927,3.96392,0.030686,3.965253,0.030696,3.965253,0.030696,3.96392,0.030686,3.965253,0.030696,3.965253,0.030696,K1
