@attribute 'RGB Color Histogram55' numeric
@attribute 'RGB Color Histogram56' numeric
@attribute 'RGB Color Histogram57' numeric
@attribute 'RGB Color Histogram58' numeric
@attribute 'RGB Color Histogram59' numeric
@attribute 'RGB Color Histogram60' numeric
@attribute 'RGB Color Histogram61' numeric
@attribute 'RGB Color Histogram62' numeric
@attribute 'RGB Color Histogram63' numeric
@attribute class {K1,K2,K3,K4,K5,K6}

@data

255,16,0,0,19,26,11,0,0,0,0,0,0,0,0,0,104,13,0,0,92,206,82,0,0,2,5,0,0,0,0,0,159,1,0,0,18,60,22,0,0,0,87,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,0,0,0,19,K1
255,30,0,0,22,17,0,0,0,0,0,0,0,0,0,0,81,21,0,0,84,249,86,0,0,0,7,3,0,0,0,0,120,2,0,0,74,114,44,0,0,0,90,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,0,0,0,11,K1
202,1,0,0,45,8,0,0,0,0,0,0,0,0,0,0,65,3,0,0,151,99,0,0,0,0,0,0,0,0,0,0,255,3,0,0,4,71,14,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,7,0,0,0,45,K1
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,2,0,0,0,79,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,71,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
165,19,0,0,0,3,0,0,0,0,0,0,0,0,0,0,175,15,0,0,1,255,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,2,0,0,14,1,0,0,0,0,0,0,0,0,0,0,76,5,0,0,11,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,3,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,K1
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,3,0,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
145,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,33,0,0,10,255,0,0,0,0,0,0,0,0,0,0,58,0,0,0,64,42,4,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,0,0,0,35,K1
2,18,0,0,0,9,0,0,0,0,0,0,0,0,0,0,24,48,0,0,3,255,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,K1
1,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,28,0,0,3,255,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,36,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,143,K1
255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,3,255,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,K1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,1,255,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,0,0,0,32,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,191,K1
255,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,8,0,0,2,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,29,0,0,0,10,0,0,0,0,0,0,0,0,0,0,219,5,0,0,21,60,6,0,0,0,0,0,0,0,0,0,45,0,0,0,0,8,3,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,9,K1
198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,6,0,0,4,255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,14,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,K1
116,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,196,9,0,0,5,255,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,43,11,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2,K1
16,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,143,16,0,0,1,255,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,98,30,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,K1
92,11,0,0,0,40,0,0,0,0,0,0,0,0,0,0,255,21,0,0,9,143,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,11,0,0,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,139,K1
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,2,0,0,219,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,255,1,0,0,23,17,0,0,0,0,0,0,0,0,0,0,28,0,0,0,149,49,1,0,0,17,139,K1
43,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,22,5,0,0,10,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,54,4,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,255,K1
255,25,0,0,0,9,0,0,0,0,0,0,0,0,0,0,13,8,0,0,2,169,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,15,22,K1
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,2,0,0,175,255,0,0,0,0,0,0,0,0,0,0,94,0,0,0,100,37,3,0,0,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,38,0,0,0,36,K1
133,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,15,0,0,109,226,2,0,0,0,0,0,0,0,0,0,20,0,0,0,128,212,6,0,0,0,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,14,0,0,0,49,K1
255,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,30,0,0,20,126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,38,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,115,7,0,0,0,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,3,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,2,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,15,0,0,1,118,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,201,25,0,0,1,245,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,0,0,0,37,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,K2
255,21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,73,26,0,0,1,252,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
159,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,255,21,0,0,0,190,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,26,0,0,21,255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,163,4,0,0,2,92,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,6,K2
255,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,249,5,0,0,6,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,K2
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,104,2,0,0,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,3,0,0,1,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,1,0,0,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,8,0,0,1,126,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,0,0,0,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,25,K2
157,30,0,0,0,3,0,0,0,0,0,0,0,0,0,0,180,13,0,0,0,255,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,K2
8,24,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,18,0,0,0,254,33,0,0,0,0,0,0,0,0,0,44,5,0,0,3,255,24,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,209,K2
255,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,K2
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,1,255,52,0,0,0,0,0,0,0,0,0,74,12,0,0,9,207,30,0,0,1,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,206,K2
148,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,15,0,0,2,255,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,205,46,0,0,0,1,0,0,0,0,0,3,13,0,0,2,245,83,0,0,1,71,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,255,K2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,255,100,0,0,0,2,0,0,0,0,0,1,8,0,0,0,134,38,0,0,0,51,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,79,K2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,11,0,0,13,66,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,17,0,0,0,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,151,K2
135,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,65,0,0,1,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
104,20,0,0,0,8,0,0,0,0,0,0,0,0,0,0,255,9,0,0,5,122,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,210,67,0,0,0,3,0,0,0,0,0,7,19,0,0,6,216,50,0,0,0,45,88,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,255,K2
177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,3,0,0,3,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,193,4,0,0,4,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,1,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
49,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,255,33,0,0,20,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
65,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,18,0,0,5,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,4,0,0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,141,5,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,255,209,0,0,0,5,0,0,0,0,0,183,8,0,0,30,66,29,0,0,0,57,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,3,0,0,0,58,K2
255,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,5,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,153,4,0,0,0,48,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,K2
255,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,244,17,0,0,1,120,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,0,0,0,225,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,13,K2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,0,0,255,81,0,0,0,4,0,0,0,0,0,75,3,0,0,21,69,14,0,0,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,35,K2
254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,1,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,1,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
253,8,0,0,3,4,0,0,0,0,0,0,0,0,0,0,255,4,0,0,7,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,K2
255,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,18,0,0,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,158,K2
51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,11,0,0,0,255,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,182,K2
209,35,0,0,0,7,0,0,0,0,0,0,0,0,0,0,255,14,0,0,0,90,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,3,179,89,0,0,0,2,0,0,0,0,0,184,1,0,0,46,43,17,0,0,0,60,14,0,0,0,0,0,0,0,0,0,2,2,0,0,0,6,9,0,0,0,255,K2
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,4,0,0,0,56,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,202,3,0,0,7,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
204,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,5,0,0,1,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,9,0,0,0,255,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
