@attribute 'Histogram of JPEG Coefficients183' numeric
@attribute 'Histogram of JPEG Coefficients184' numeric
@attribute 'Histogram of JPEG Coefficients185' numeric
@attribute 'Histogram of JPEG Coefficients186' numeric
@attribute 'Histogram of JPEG Coefficients187' numeric
@attribute 'Histogram of JPEG Coefficients188' numeric
@attribute 'Histogram of JPEG Coefficients189' numeric
@attribute 'Histogram of JPEG Coefficients190' numeric
@attribute 'Histogram of JPEG Coefficients191' numeric
@attribute class {K1,K2,K3,K4,K5,K6}

@data

133,255,152,76,68,68,83,103,215,86,17,13,15,26,30,46,152,25,8,10,16,11,29,37,61,9,5,11,9,11,11,33,43,10,1,3,3,9,12,30,34,14,9,7,9,8,37,31,25,10,7,6,10,24,32,46,59,11,20,22,19,13,32,51,255,198,96,85,72,103,101,166,102,19,1,4,10,29,37,90,27,1,0,2,17,18,25,67,11,3,0,8,20,14,26,63,18,9,1,2,7,7,11,73,51,12,1,5,0,9,10,46,39,9,5,5,5,7,18,47,45,15,12,15,18,20,20,52,235,255,98,82,85,112,97,144,139,29,0,8,24,48,43,80,18,1,0,4,16,25,31,75,19,4,2,8,21,16,23,68,24,15,6,3,10,11,31,62,51,13,3,3,3,7,20,41,41,17,7,11,13,15,23,55,86,18,23,16,15,21,23,67,K2
30,246,109,43,49,37,62,46,255,176,34,9,2,26,25,53,130,41,3,12,17,32,25,42,34,2,10,24,9,10,23,58,24,2,0,14,9,12,6,58,32,10,7,8,5,16,39,66,6,13,17,23,14,47,42,70,50,30,41,31,34,43,77,120,33,177,34,31,28,66,106,255,178,18,2,16,28,58,55,138,9,3,1,8,24,34,24,137,16,4,3,20,41,29,36,108,15,16,0,4,14,12,9,137,36,9,5,26,4,26,23,78,19,17,6,16,28,38,26,95,99,50,23,37,49,67,43,84,31,208,36,38,76,116,103,240,255,61,8,27,42,70,58,104,13,3,1,5,10,18,51,99,15,1,3,6,20,24,40,109,31,4,3,2,7,15,24,98,50,11,8,10,12,31,36,86,48,13,23,15,22,13,30,75,36,63,10,36,39,65,51,138,K2
4,223,152,37,26,37,30,70,255,195,85,8,16,35,13,60,172,51,11,11,23,20,3,50,37,0,3,31,10,10,23,38,39,0,0,9,0,10,23,32,41,5,5,13,13,38,52,33,22,3,8,13,32,56,26,72,63,6,28,23,27,19,23,78,77,255,64,59,61,131,91,233,107,31,0,15,11,60,61,95,7,0,0,10,8,39,46,89,10,2,0,16,7,34,46,108,17,1,1,0,26,34,32,70,20,20,3,9,1,11,43,65,22,1,29,6,6,14,39,105,85,19,29,25,38,44,46,88,36,255,45,37,42,86,82,95,143,67,0,7,13,31,50,78,8,1,0,1,6,15,28,49,15,3,0,1,19,8,35,66,2,10,3,5,11,11,29,57,32,6,5,9,5,11,14,47,7,8,6,10,7,17,22,20,48,18,17,25,29,21,45,59,K2
186,255,184,100,69,79,83,122,102,55,14,2,5,9,14,48,49,7,3,6,10,8,14,36,36,3,5,5,3,5,11,25,34,5,3,3,4,7,9,23,37,4,2,3,3,7,19,28,30,4,4,4,7,12,13,27,57,8,9,4,11,12,16,33,255,157,97,81,75,94,83,129,20,2,0,2,3,10,10,51,6,0,0,1,4,9,10,37,6,1,1,4,9,8,9,28,5,4,1,2,3,3,10,36,18,3,1,1,1,3,4,19,22,4,2,4,3,1,5,14,21,7,5,3,5,4,4,22,255,181,104,86,78,107,93,150,37,6,0,3,5,15,17,51,8,0,0,1,3,9,10,39,16,2,2,5,7,7,5,31,21,9,1,1,4,3,4,29,32,5,0,2,2,3,5,22,21,5,1,3,2,3,6,16,41,5,5,2,4,7,9,20,K2
30,255,200,85,25,31,30,51,169,119,35,3,2,6,10,33,124,25,3,7,4,10,12,19,81,5,0,0,2,4,9,19,17,2,1,1,7,8,11,20,26,6,1,4,2,7,22,30,22,2,5,6,4,21,18,36,42,11,18,18,16,18,21,58,134,205,77,70,60,126,139,255,60,5,1,5,7,30,26,70,9,2,0,1,2,18,20,67,11,6,1,6,11,9,25,58,23,17,2,6,13,13,26,53,68,16,3,5,6,12,15,36,34,12,7,11,6,11,13,27,73,16,27,20,16,29,31,41,109,204,54,57,48,114,124,255,114,10,3,5,5,41,39,82,15,1,0,3,9,14,24,61,35,6,1,9,3,9,37,69,40,20,6,3,11,11,42,61,86,11,5,6,11,8,16,30,33,10,4,3,13,10,9,25,72,10,18,14,26,9,15,30,K2
88,255,88,69,55,71,89,125,113,48,1,1,2,21,9,27,74,6,1,3,5,24,21,28,44,3,8,7,11,11,17,33,19,4,0,4,6,13,16,30,11,2,5,3,4,8,17,16,32,0,3,9,3,20,11,35,31,9,11,4,13,12,22,31,195,190,93,58,69,103,107,255,46,2,1,2,6,26,37,93,14,2,0,4,4,18,48,61,7,6,5,17,8,18,39,57,7,26,0,4,4,6,25,83,24,15,1,14,5,13,24,27,45,25,7,13,7,4,5,18,37,14,11,18,7,12,19,23,110,255,71,73,95,145,102,253,72,19,2,5,7,22,58,85,32,1,0,3,9,24,30,59,20,1,6,11,11,14,14,81,23,9,3,0,8,14,26,63,41,6,7,3,7,3,18,26,63,10,6,9,9,11,25,25,45,24,19,21,7,21,7,34,K2
26,255,96,72,15,31,13,49,249,149,29,1,0,6,7,14,128,45,2,1,0,2,7,11,94,12,0,2,0,0,7,8,49,8,1,0,3,2,11,13,23,5,0,2,1,2,17,12,5,7,3,2,4,10,6,22,44,13,6,5,11,13,8,45,125,210,49,46,48,95,86,255,171,25,9,5,12,43,90,123,11,1,1,5,3,12,19,75,16,16,6,13,10,42,46,91,25,24,6,4,17,12,26,105,48,19,5,25,5,37,37,64,33,43,7,6,5,13,8,62,127,50,40,16,21,35,36,67,170,255,79,71,96,140,148,208,210,42,0,3,12,37,41,89,11,5,0,5,18,15,16,134,36,6,6,12,22,16,43,83,21,16,5,8,18,10,46,98,29,29,6,18,12,27,9,79,62,32,27,9,20,30,21,64,137,39,53,39,64,57,44,82,K2
12,255,88,50,17,43,60,81,248,112,4,10,7,18,21,60,116,19,5,11,7,14,26,44,66,9,4,5,1,15,23,34,31,11,1,1,0,19,15,51,24,11,3,13,7,13,67,45,14,9,11,16,7,38,22,51,65,18,16,31,26,22,47,68,19,112,26,35,34,88,74,255,156,25,0,4,23,47,32,122,23,0,0,5,20,40,24,102,45,2,3,5,33,19,46,78,26,11,0,1,20,20,29,130,79,10,4,9,12,6,6,59,67,11,12,23,9,6,16,26,151,26,12,13,22,25,33,36,48,255,27,53,32,84,83,171,146,14,2,9,17,33,49,106,21,0,1,2,10,20,34,106,35,6,3,5,16,20,12,75,18,14,0,1,6,6,32,101,81,16,4,2,9,11,27,36,37,16,4,12,5,11,15,43,61,35,10,19,19,17,18,79,K2
2,204,48,28,1,6,16,21,255,88,4,1,0,2,14,19,129,22,1,1,0,7,16,20,77,0,2,5,3,4,4,20,27,3,0,1,4,7,12,31,25,5,2,1,8,7,30,29,9,7,7,1,6,18,16,49,38,13,19,11,10,15,41,43,45,125,26,52,34,77,82,211,255,7,2,12,14,27,23,83,51,0,1,5,7,20,36,89,31,1,10,15,10,27,37,86,19,6,4,1,4,15,38,110,32,11,3,15,4,22,22,84,55,23,11,9,13,21,23,65,100,37,27,21,26,24,37,71,42,178,24,35,27,61,75,211,255,27,1,6,9,24,49,103,14,0,0,0,9,23,20,79,21,2,1,12,13,16,21,89,24,4,8,3,11,18,19,112,47,8,1,8,9,22,25,56,57,15,15,15,20,19,24,76,90,45,33,24,35,30,29,77,K2
0,183,75,36,1,1,5,18,255,112,24,1,1,2,2,20,121,39,3,0,0,3,5,22,49,0,0,0,0,0,3,12,26,0,0,0,1,4,5,17,8,2,1,1,1,3,11,19,1,4,5,2,0,14,10,31,17,7,7,9,11,13,14,31,10,170,19,24,19,51,36,175,255,37,1,2,10,8,14,66,44,0,0,6,5,12,16,62,15,1,1,9,9,4,14,66,26,8,2,6,3,7,20,104,39,6,4,2,9,4,11,44,34,17,8,17,9,8,12,50,58,18,14,16,28,24,13,70,21,204,26,27,49,84,54,144,255,59,2,12,15,19,46,63,34,0,0,3,4,13,38,66,29,2,3,15,12,16,23,94,25,12,7,6,22,13,36,125,71,10,10,7,12,12,15,56,51,9,8,6,11,17,28,86,116,24,31,34,26,32,49,94,K2
0,255,118,40,8,1,8,7,200,128,49,1,3,12,4,18,117,46,1,0,0,3,9,9,49,0,0,1,0,1,6,12,34,2,0,1,6,8,9,20,6,0,0,0,2,3,6,12,0,0,0,1,0,13,15,37,3,2,4,5,5,9,20,18,10,223,32,24,27,55,73,255,157,42,2,12,10,41,22,119,11,1,0,1,0,14,44,84,6,1,4,6,3,12,12,109,20,4,0,8,7,21,20,65,30,4,2,10,7,10,23,86,23,5,8,7,19,11,13,94,73,32,22,32,43,31,21,96,2,255,19,20,20,69,85,198,196,68,5,2,6,30,30,107,39,0,0,1,6,10,33,72,4,4,4,8,3,13,9,57,15,11,4,1,13,16,18,70,29,11,0,1,7,6,6,56,20,14,9,12,14,22,24,81,42,25,16,17,35,18,62,70,K2
30,255,73,33,17,44,33,48,158,71,2,3,8,25,24,28,115,5,1,2,4,10,18,32,60,0,2,2,1,7,15,18,21,0,1,3,3,11,9,34,29,2,4,3,5,8,34,34,14,5,2,4,6,48,15,60,46,10,11,7,14,9,13,37,188,231,97,80,69,91,180,255,97,3,2,1,13,36,31,85,8,0,0,5,7,15,34,59,14,1,5,7,14,27,19,50,24,4,2,3,12,11,21,44,31,6,0,4,4,8,22,21,21,14,6,7,8,3,10,35,80,21,14,9,14,16,15,44,106,227,64,62,64,86,112,255,146,3,1,7,11,51,62,83,13,0,0,4,3,22,29,97,22,2,2,23,12,20,30,59,8,3,4,3,15,19,28,80,49,7,3,7,3,8,36,43,36,11,4,5,6,20,18,45,91,18,25,31,23,18,39,39,K2
46,255,123,50,29,37,68,104,215,137,36,5,9,22,44,60,142,31,1,3,13,19,33,55,59,4,3,6,6,12,28,52,50,6,4,11,4,5,25,30,29,14,2,6,12,13,37,53,29,4,8,6,14,23,23,54,45,11,8,21,24,31,39,87,214,212,90,81,76,123,95,255,133,23,2,10,16,30,33,150,21,2,0,11,23,17,30,113,14,5,2,15,21,15,39,105,12,12,4,2,5,11,22,79,36,9,6,11,5,30,31,60,27,7,13,11,8,18,31,60,70,24,31,15,30,17,33,113,128,255,68,53,61,79,74,150,187,42,0,2,10,22,38,97,19,1,0,1,7,25,16,51,24,4,1,5,19,8,18,49,18,13,5,6,15,7,26,56,56,10,1,3,7,19,11,50,34,13,4,4,8,7,13,52,50,23,22,14,16,17,20,52,K2
13,246,115,60,15,14,7,29,255,131,31,7,3,9,5,13,183,50,3,2,4,6,8,17,89,7,1,5,1,6,6,23,53,2,1,3,3,9,12,21,39,2,5,5,8,10,11,25,21,5,3,2,7,17,19,33,35,8,10,17,11,13,26,53,55,237,37,40,44,85,64,171,255,52,1,9,16,39,26,122,77,0,0,5,10,23,25,88,29,3,4,9,21,24,34,68,25,2,1,5,8,9,33,73,52,13,5,12,5,20,25,66,28,12,10,8,23,31,31,68,74,31,30,29,18,39,63,86,45,251,60,56,30,64,48,103,255,79,2,4,10,28,30,42,71,2,0,5,7,11,18,38,36,6,0,2,10,9,23,29,25,7,0,1,4,4,11,40,42,7,2,4,1,14,17,36,25,6,3,6,9,7,16,37,56,12,12,10,20,11,30,28,K2
103,255,143,76,43,34,44,53,220,135,31,4,4,5,7,21,129,37,5,4,5,4,7,18,69,7,3,4,2,2,5,18,31,4,2,2,1,8,6,20,24,3,3,3,4,8,21,24,17,5,6,4,7,16,12,32,56,8,11,12,9,12,27,40,228,255,107,86,71,106,100,189,160,30,2,7,21,35,30,107,42,1,0,3,8,14,21,84,28,2,2,3,12,9,20,59,26,12,2,2,7,7,17,82,69,11,3,6,4,6,12,52,59,11,5,10,11,10,14,52,90,18,19,16,24,15,26,61,225,255,131,102,80,115,96,167,170,60,2,4,17,30,30,92,56,1,0,5,10,16,21,69,35,2,2,9,17,12,18,53,20,10,3,4,7,7,16,54,62,8,4,5,3,9,14,46,66,10,7,11,7,14,15,39,75,17,16,17,24,18,30,63,K2
162,255,126,100,82,100,92,199,95,43,5,6,3,7,9,35,37,4,4,6,9,9,16,23,24,2,3,6,3,4,8,18,14,2,1,2,1,7,2,20,23,1,2,1,5,3,31,15,20,2,3,3,1,20,8,27,50,3,7,4,6,4,9,22,255,150,103,89,75,101,107,118,11,1,0,1,1,6,7,55,13,0,0,2,6,8,13,30,15,1,1,5,8,9,8,25,10,2,1,1,3,3,5,15,32,2,1,2,0,2,4,15,47,2,2,2,0,2,4,10,36,2,2,4,0,2,2,10,255,165,103,95,82,109,107,144,14,0,1,3,6,15,17,41,6,0,0,4,7,10,10,41,10,4,1,11,10,12,10,29,10,1,2,2,4,3,6,30,20,1,0,7,1,8,6,16,23,4,1,2,1,3,6,9,43,6,6,6,3,2,2,9,K2
5,255,76,44,8,17,15,36,245,84,10,2,2,5,4,17,129,16,0,1,1,4,6,25,74,2,0,2,2,5,10,13,37,0,0,2,3,6,3,21,23,3,4,3,12,8,31,24,3,2,4,6,4,15,16,31,37,9,13,12,19,13,32,25,166,255,79,65,69,95,74,174,226,28,0,5,9,32,27,97,42,0,0,5,6,20,35,61,27,3,6,13,6,13,16,62,18,13,5,1,5,7,13,76,39,8,5,7,6,16,21,48,40,11,8,10,9,24,17,48,77,15,13,18,17,27,25,48,80,248,69,81,48,103,90,158,255,60,1,12,22,45,56,78,43,0,0,5,8,23,31,55,41,5,2,16,17,14,26,53,29,9,2,5,8,10,20,62,75,13,12,9,10,6,14,50,68,20,17,14,11,10,30,44,103,19,27,36,42,35,23,79,K2
4,255,184,94,61,24,12,21,249,147,38,9,1,0,6,23,192,36,7,0,3,3,10,22,96,8,1,2,2,2,6,21,49,0,1,3,2,6,6,18,26,1,3,4,3,4,13,19,15,3,5,3,4,13,14,30,35,7,10,13,12,12,17,44,28,255,105,51,69,95,91,205,165,44,0,3,12,27,31,102,28,1,0,2,6,11,17,90,21,2,2,4,9,7,16,81,14,7,3,1,4,8,12,73,29,5,7,4,5,8,20,55,33,11,9,7,12,12,20,44,70,21,23,19,27,14,26,74,5,255,87,50,53,88,85,159,210,63,0,3,9,21,30,65,62,1,1,1,3,9,15,81,24,2,2,8,8,11,15,55,19,8,2,0,7,5,12,75,39,8,5,8,7,9,14,36,41,7,8,6,13,8,14,48,62,16,16,11,18,17,24,49,K2
36,255,118,82,24,21,23,26,189,107,27,1,3,5,7,12,110,37,2,3,5,4,7,13,63,6,2,3,2,3,6,10,30,5,3,4,3,6,4,12,17,5,3,2,3,5,11,9,6,3,3,4,5,10,9,16,28,6,7,6,10,9,17,24,112,255,73,78,66,122,139,250,138,24,3,8,18,41,45,111,42,0,1,10,15,29,42,83,31,7,3,9,20,26,29,57,23,13,2,5,9,16,31,69,52,17,10,10,13,19,28,40,80,12,12,22,8,27,30,55,82,21,19,21,27,24,32,58,83,255,60,64,42,87,71,194,153,40,1,3,12,25,39,78,37,1,0,5,11,19,23,57,21,5,2,8,17,16,22,57,20,15,2,4,11,10,16,66,42,11,3,10,4,10,15,46,34,10,6,9,15,10,16,43,54,17,17,15,15,18,33,57,K2
4,247,129,54,30,7,11,19,255,175,59,14,2,5,5,16,193,66,10,1,0,3,5,15,86,24,1,0,4,0,10,16,43,2,0,6,2,5,3,19,45,0,2,2,1,2,4,21,8,2,4,4,3,8,13,31,18,9,4,4,7,4,10,46,4,191,49,23,26,30,39,144,255,89,1,3,17,25,34,62,29,1,0,3,6,12,15,61,23,1,2,6,2,7,40,66,30,3,0,4,8,10,26,78,34,7,3,4,7,14,25,49,45,6,8,13,13,16,32,64,49,24,15,25,40,26,28,77,0,183,57,24,25,32,28,72,255,88,5,1,6,15,24,39,41,1,0,0,0,5,8,46,27,1,1,6,0,9,10,38,30,0,0,0,3,7,14,61,36,2,2,2,2,7,13,35,35,4,4,4,9,8,12,41,46,15,11,18,24,16,16,58,K2
0,189,127,57,13,0,1,0,255,187,60,11,0,1,2,9,131,64,6,0,0,1,0,4,66,10,0,0,1,1,0,5,36,3,0,0,0,2,1,10,4,0,1,0,0,8,2,6,0,2,1,4,1,4,6,9,3,4,5,6,3,6,12,16,0,224,29,3,8,20,33,166,255,115,4,0,12,41,21,71,24,2,1,1,8,14,31,90,19,6,2,3,11,11,9,36,23,6,4,1,3,16,49,83,54,19,4,7,1,2,33,40,18,15,28,22,17,36,27,66,91,35,26,23,60,39,63,115,0,180,42,22,25,47,43,122,255,86,4,2,4,24,30,45,46,0,0,3,0,4,12,33,9,1,1,7,1,6,11,49,20,2,1,0,6,5,16,56,16,0,1,9,7,11,16,29,20,16,3,10,12,14,12,27,31,12,28,20,25,28,24,60,K2
140,255,145,81,54,60,63,102,167,83,18,4,4,8,10,42,94,16,3,4,10,7,16,35,61,3,2,6,3,4,8,27,29,3,1,2,2,10,6,28,28,2,3,2,5,6,35,24,18,2,3,4,4,23,12,31,64,8,11,9,15,9,20,38,255,226,114,98,82,118,105,198,86,16,1,3,8,21,21,101,23,1,0,3,10,15,21,75,17,2,2,6,16,13,14,60,16,10,2,2,6,6,13,59,44,8,3,7,2,8,10,40,38,8,3,5,5,7,9,31,63,11,11,13,12,11,11,31,255,225,117,98,84,112,85,150,88,23,1,3,8,18,18,72,23,0,0,4,8,12,15,53,21,2,1,7,14,9,8,42,19,6,2,2,5,5,12,47,44,6,3,5,3,7,9,34,35,6,4,6,4,6,9,33,47,9,9,10,10,13,9,35,K2
0,255,128,53,10,5,2,9,124,131,48,1,2,2,8,9,87,30,0,2,0,6,3,7,32,4,0,0,0,4,4,6,33,0,0,0,0,4,5,12,9,0,2,3,6,6,6,12,0,2,0,5,1,10,16,20,3,4,7,5,14,3,27,29,0,255,28,23,20,86,49,172,208,114,2,3,5,18,40,78,51,0,0,0,3,2,13,45,8,0,6,1,2,6,14,59,9,1,0,0,6,2,11,45,2,0,2,1,5,9,16,48,9,3,6,3,10,11,21,60,15,12,22,16,17,25,58,92,0,255,67,28,11,38,31,70,180,121,2,1,2,10,39,38,52,0,0,1,1,11,37,27,19,1,1,0,2,3,5,31,12,2,1,3,2,4,12,17,15,7,2,1,1,6,14,20,13,9,5,2,3,10,14,35,18,10,16,20,17,12,21,42,K2
49,255,109,77,38,65,70,114,238,89,7,4,6,15,20,49,91,11,4,6,6,15,25,43,53,3,2,3,4,9,18,33,19,2,1,2,6,19,12,45,35,3,3,2,9,8,53,25,13,3,2,5,6,38,16,47,86,7,15,8,20,11,30,39,165,190,90,95,73,132,125,255,69,6,2,3,7,23,28,99,23,1,0,2,7,15,34,66,16,0,2,13,15,18,23,47,14,5,2,2,5,8,18,59,37,4,3,5,2,9,11,26,32,5,2,3,2,5,8,17,51,10,10,10,12,9,6,20,148,255,75,94,68,143,110,223,49,4,1,2,4,21,34,87,21,0,0,4,7,17,26,61,17,1,3,10,14,16,22,52,10,5,1,2,7,9,17,47,34,5,3,6,2,7,13,24,37,7,3,4,4,6,10,20,52,13,13,9,10,9,11,31,K2
29,255,142,66,45,23,27,47,202,107,24,3,4,5,8,23,129,47,2,4,3,2,5,22,59,3,1,1,1,4,5,18,31,4,0,0,1,3,4,11,7,2,2,1,1,2,28,17,5,4,2,5,3,16,10,23,22,2,10,9,12,17,12,34,84,255,102,66,71,86,66,166,127,25,2,2,12,27,44,70,27,1,0,3,6,14,27,68,23,4,2,7,10,14,21,49,14,11,3,1,5,5,17,60,38,7,4,7,10,19,23,42,27,15,7,9,6,13,22,51,86,25,18,17,24,19,33,64,53,255,122,65,58,85,53,94,165,46,3,5,8,21,16,59,47,1,1,2,5,12,13,45,23,3,2,13,7,8,12,33,23,3,3,3,3,6,15,42,35,7,1,3,5,4,9,30,32,10,8,6,7,6,14,25,27,14,13,10,13,13,17,33,K2
40,240,164,60,38,41,43,72,255,130,29,5,7,9,9,41,134,25,4,4,7,9,16,44,69,5,3,8,5,9,15,28,32,4,3,2,6,15,12,45,37,3,2,3,7,12,57,34,12,5,4,7,9,39,14,41,77,8,10,8,19,14,27,41,205,209,91,85,87,131,115,255,95,12,1,6,14,27,30,114,17,0,0,4,12,15,28,87,18,0,4,15,21,14,21,70,14,4,3,4,13,8,15,86,39,4,2,7,2,12,20,62,48,11,5,7,5,12,12,50,88,14,16,16,22,14,24,46,179,255,92,85,70,115,100,201,90,29,3,6,12,22,37,107,16,0,0,5,16,17,28,86,21,3,4,13,25,18,19,62,11,9,7,5,12,11,19,75,42,10,1,5,5,15,16,55,41,10,6,9,7,11,18,33,64,16,22,15,21,12,22,59,K2
76,255,191,109,65,42,46,89,164,68,31,4,3,4,6,25,104,12,2,2,3,6,8,25,60,1,0,1,1,3,4,17,35,1,1,2,1,6,4,21,34,0,2,1,5,6,31,12,29,0,1,0,3,18,5,18,69,1,5,4,10,8,10,17,203,255,108,90,98,131,119,203,68,12,0,4,14,39,29,92,30,0,0,5,10,13,26,72,26,1,1,4,12,11,17,59,8,3,1,3,5,11,21,71,40,3,0,2,3,9,13,42,74,1,2,3,4,3,8,25,87,5,10,7,5,6,12,25,197,255,122,90,76,109,96,161,58,14,0,2,7,17,26,82,30,0,0,1,11,12,17,59,20,1,0,5,16,11,19,61,12,1,0,1,3,9,17,53,49,2,0,3,2,7,11,28,50,2,4,4,5,5,13,21,77,5,6,9,10,7,12,25,K2
83,255,181,56,31,35,37,69,181,174,27,3,10,16,16,39,178,27,0,2,4,4,20,48,69,3,0,4,2,10,10,33,21,5,1,0,5,5,14,29,33,5,5,2,4,10,29,28,29,5,2,5,8,27,21,42,53,6,18,16,20,26,27,73,255,180,102,95,103,139,101,178,80,4,1,3,11,20,22,49,28,0,0,5,7,12,21,66,31,2,2,5,14,11,19,71,32,9,1,1,4,7,13,46,82,10,8,3,2,19,26,53,102,7,8,11,10,7,17,39,97,9,13,13,25,9,9,53,192,243,86,101,125,235,147,255,139,23,1,2,13,34,55,136,31,2,0,5,16,30,31,100,45,5,1,19,29,15,27,126,37,25,8,10,19,19,42,123,124,20,5,5,10,22,16,76,99,28,20,29,21,15,15,66,135,14,13,19,22,30,34,86,K2
37,255,140,114,68,25,32,46,211,138,37,13,7,10,8,18,118,34,6,0,1,2,10,21,67,9,3,1,1,3,3,16,37,6,2,1,3,3,2,17,47,2,2,0,5,1,13,13,11,2,2,0,3,10,7,12,42,6,8,6,8,4,13,24,94,255,72,65,67,96,86,188,133,29,1,5,18,63,44,151,16,2,1,11,17,19,51,80,24,3,0,5,24,15,30,87,22,11,3,6,14,19,25,66,41,7,4,10,3,15,11,60,60,14,16,12,11,14,31,63,79,26,20,18,25,33,27,62,74,255,75,73,82,127,106,194,171,71,0,6,23,46,24,99,39,0,0,2,12,21,14,69,20,4,0,5,20,9,16,66,17,10,2,2,4,14,20,56,38,9,1,5,1,5,9,51,39,8,7,10,12,16,22,76,43,24,9,16,24,31,15,61,K2
16,162,104,45,18,12,15,22,255,120,40,4,2,4,6,18,134,42,5,2,3,5,7,18,69,6,2,5,3,5,8,17,34,4,1,0,2,5,8,18,19,2,4,2,3,6,12,18,9,3,2,4,6,11,17,31,35,8,10,12,10,11,24,45,74,251,61,49,42,71,87,222,255,49,1,7,14,36,36,106,42,0,0,4,10,18,27,122,29,6,3,8,21,12,32,91,19,19,3,3,13,11,28,138,50,19,3,9,7,16,23,87,61,18,14,14,14,20,34,96,116,31,20,33,36,32,42,116,81,225,83,55,43,65,60,148,255,77,2,3,10,23,28,82,65,1,0,3,7,10,23,68,36,2,1,11,12,10,29,57,25,7,1,3,4,11,17,92,49,6,7,8,4,9,20,56,36,16,11,12,12,19,24,57,81,21,25,26,26,22,38,78,K2
21,174,118,45,27,16,21,24,255,138,29,6,2,3,7,14,159,45,5,2,3,6,8,18,72,6,2,3,2,3,8,14,35,4,1,1,2,9,7,21,19,5,3,2,2,6,9,26,15,4,3,6,6,13,17,28,35,10,18,11,8,15,23,45,107,255,69,55,47,71,70,183,233,49,2,4,11,27,31,113,34,1,1,4,10,13,27,110,37,2,2,7,19,14,28,91,21,13,1,2,14,15,29,104,60,14,6,5,9,18,19,52,61,20,15,17,15,20,33,75,120,34,27,27,34,22,34,92,122,255,76,57,54,78,67,159,254,71,2,2,13,32,47,89,68,2,0,3,5,15,34,73,26,4,2,5,7,12,20,72,22,10,1,2,6,8,19,77,56,9,5,2,3,12,21,54,39,13,12,24,13,20,38,58,79,22,19,27,29,31,33,67,K2
121,244,147,79,47,41,42,80,255,108,29,4,4,7,8,33,149,40,7,2,5,4,10,29,86,6,2,4,3,4,7,24,48,2,1,1,2,7,8,28,47,3,3,2,5,5,22,26,32,4,4,4,3,18,12,31,86,8,12,11,12,11,22,41,255,250,120,95,82,104,90,196,167,27,1,4,11,26,27,103,58,1,0,3,9,14,17,83,46,4,2,8,13,11,17,62,30,10,2,2,9,8,20,74,81,11,4,7,4,12,13,49,87,12,6,8,9,10,16,44,147,19,19,16,15,18,20,62,255,237,124,96,79,112,91,183,163,34,1,5,11,27,28,108,54,1,1,4,10,14,19,82,54,4,5,10,15,11,21,67,35,9,3,4,5,7,17,74,92,11,4,5,5,11,13,56,95,10,7,9,8,9,17,46,129,19,17,16,20,19,23,64,K2
1,147,95,15,8,0,0,5,255,107,44,1,0,3,4,7,131,27,0,1,1,1,3,14,84,4,1,1,0,3,4,17,24,0,0,0,1,2,4,27,8,2,2,0,0,6,4,29,10,5,6,4,4,8,17,23,25,14,9,11,16,10,17,54,8,160,1,1,16,47,27,215,255,49,0,12,16,25,46,136,11,0,1,3,4,23,53,219,56,4,6,8,6,16,33,113,46,4,2,9,7,18,28,128,97,2,2,17,19,10,30,77,70,16,30,13,6,28,7,110,131,22,37,44,83,38,39,75,2,143,1,3,12,44,47,130,255,44,1,2,12,20,31,76,13,0,1,6,1,8,51,129,43,2,3,8,2,2,30,80,16,13,0,5,1,13,27,119,30,20,10,6,7,22,33,52,51,7,26,19,21,33,28,81,45,54,24,30,54,32,34,101,K2
21,240,113,45,13,23,21,48,255,137,36,6,2,19,13,45,148,28,4,6,9,13,13,39,77,0,1,4,6,10,14,40,46,1,2,6,11,12,11,48,22,1,2,6,5,9,38,51,26,6,7,3,1,38,20,74,62,11,14,21,25,24,32,84,143,216,61,47,52,90,87,255,143,22,4,12,14,43,49,159,29,0,1,3,15,23,32,121,37,3,1,14,22,26,27,113,22,6,3,7,17,17,33,117,62,8,5,7,7,16,25,79,82,7,5,11,6,11,25,72,151,32,25,17,11,20,28,100,161,255,69,62,61,102,82,203,141,22,1,4,19,46,54,105,26,0,0,3,13,25,37,109,20,0,2,12,28,25,39,85,26,2,2,2,11,14,22,87,50,5,1,14,7,20,22,56,65,5,5,12,8,18,16,58,75,15,23,17,17,24,28,66,K2
80,255,140,66,35,42,44,60,179,123,29,4,7,15,18,42,85,16,3,4,17,12,23,39,28,4,0,8,10,6,16,31,17,7,6,3,9,12,17,33,23,3,1,4,8,11,36,20,20,6,8,7,10,32,21,41,54,11,11,11,22,17,24,54,182,222,95,74,69,119,150,255,50,1,2,5,10,31,31,127,20,0,0,4,18,15,30,80,8,2,7,12,28,22,25,85,12,7,5,3,15,6,35,93,30,5,0,6,2,10,19,48,52,9,3,14,11,7,22,31,27,16,12,12,18,8,21,33,161,255,88,89,78,115,127,185,89,22,0,6,17,38,22,92,16,0,0,5,19,23,22,55,11,2,1,17,24,11,10,39,13,7,2,7,15,11,14,59,34,5,2,5,9,5,8,36,29,7,0,9,10,9,15,48,29,11,12,16,18,21,15,30,K2
