@attribute 'RGB Color Histogram55' numeric
@attribute 'RGB Color Histogram56' numeric
@attribute 'RGB Color Histogram57' numeric
@attribute 'RGB Color Histogram58' numeric
@attribute 'RGB Color Histogram59' numeric
@attribute 'RGB Color Histogram60' numeric
@attribute 'RGB Color Histogram61' numeric
@attribute 'RGB Color Histogram62' numeric
@attribute 'RGB Color Histogram63' numeric
@attribute class {K1,K2,K3,K4,K5,K6,K7,K8}

@data

202,5,0,0,23,7,3,0,0,0,0,0,0,0,0,0,67,5,0,0,110,255,118,0,0,0,5,0,0,0,0,0,129,1,0,0,34,191,33,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
157,20,0,0,20,15,0,0,0,0,0,0,0,0,0,0,47,14,0,0,80,255,78,0,0,0,0,0,0,0,0,0,68,1,0,0,64,159,48,0,0,0,71,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,K1
184,0,0,0,63,3,0,0,0,0,0,0,0,0,0,0,34,0,0,0,240,124,0,0,0,0,0,0,0,0,0,0,255,3,0,0,13,155,21,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,4,0,0,1,7,K1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,4,0,0,0,89,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,68,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
108,17,0,0,0,2,0,0,0,0,0,0,0,0,0,0,150,22,0,0,0,255,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,87,11,0,0,11,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,5,0,0,2,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,5,0,0,4,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,14,0,0,6,255,0,0,0,0,0,0,0,0,0,0,17,0,0,0,58,78,9,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,K1
0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,14,0,0,1,255,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,78,K1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,255,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,114,K1
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,2,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,255,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,0,0,0,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,151,K1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,255,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,35,0,0,0,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,183,K1
255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,17,0,0,2,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,33,0,0,0,8,0,0,0,0,0,0,0,0,0,0,209,5,0,0,24,68,5,0,0,0,0,0,0,0,0,0,47,0,0,0,0,30,8,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,K1
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,5,0,0,6,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,26,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
54,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,7,0,0,6,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,2,0,0,4,255,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,18,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
49,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,248,19,0,0,8,255,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,3,0,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,11,125,K1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,234,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,210,1,0,0,8,30,0,0,0,0,0,0,0,0,0,0,15,0,0,0,90,76,0,0,0,39,41,K1
33,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,8,2,0,0,1,131,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,9,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,5,255,K1
255,32,0,0,0,7,0,0,0,0,0,0,0,0,0,0,20,21,0,0,1,202,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,0,0,0,14,17,K1
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,182,255,0,0,0,0,0,0,0,0,0,0,46,0,0,0,107,101,10,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,0,0,0,4,K1
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,5,0,0,71,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,255,15,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,K1
255,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,28,0,0,29,164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,42,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,6,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,7,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K1
255,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,39,0,0,2,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
142,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,110,24,0,0,2,255,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,33,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
179,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,52,26,0,0,2,255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
137,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,255,31,0,0,0,219,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,25,0,0,20,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,187,6,0,0,7,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,11,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,K2
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,11,0,0,9,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,5,0,0,1,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,3,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,4,0,0,0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,3,0,0,2,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
