@attribute 'Gabor Features51' numeric
@attribute 'Gabor Features52' numeric
@attribute 'Gabor Features53' numeric
@attribute 'Gabor Features54' numeric
@attribute 'Gabor Features55' numeric
@attribute 'Gabor Features56' numeric
@attribute 'Gabor Features57' numeric
@attribute 'Gabor Features58' numeric
@attribute 'Gabor Features59' numeric
@attribute class {K1,K2,K3,K4,K5,K6}

@data

10.711945,0.071532,10.715546,0.071556,10.715546,0.071556,10.711945,0.071532,10.715546,0.071556,10.715546,0.071556,11.070262,0.073925,11.073983,0.07395,11.073983,0.07395,11.070262,0.073925,11.073983,0.07395,11.073983,0.07395,11.060026,0.073856,11.063744,0.073881,11.063744,0.073881,11.060026,0.073856,11.063744,0.073881,11.063744,0.073881,11.031024,0.073663,11.034732,0.073687,11.034732,0.073687,11.031024,0.073663,11.034732,0.073687,11.034732,0.073687,10.948577,0.073112,10.952257,0.073137,10.952257,0.073137,10.948577,0.073112,10.952257,0.073137,10.952257,0.073137,K1
11.188476,0.080137,11.192236,0.080164,11.192236,0.080164,11.188476,0.080137,11.192236,0.080164,11.192236,0.080164,11.562733,0.082818,11.56662,0.082845,11.56662,0.082845,11.562733,0.082818,11.56662,0.082845,11.56662,0.082845,11.552042,0.082741,11.555925,0.082769,11.555925,0.082769,11.552042,0.082741,11.555925,0.082769,11.555925,0.082769,11.521749,0.082524,11.525622,0.082552,11.525622,0.082552,11.521749,0.082524,11.525622,0.082552,11.525622,0.082552,11.435634,0.081907,11.439478,0.081935,11.439478,0.081935,11.435634,0.081907,11.439478,0.081935,11.439478,0.081935,K1
7.394836,0.055987,7.397321,0.056005,7.397321,0.056005,7.394836,0.055987,7.397321,0.056005,7.397321,0.056005,7.642195,0.057859,7.644764,0.057879,7.644764,0.057879,7.642195,0.057859,7.644764,0.057879,7.644764,0.057879,7.635129,0.057806,7.637695,0.057825,7.637695,0.057825,7.635129,0.057806,7.637695,0.057825,7.637695,0.057825,7.615107,0.057654,7.617667,0.057674,7.617667,0.057674,7.615107,0.057654,7.617667,0.057674,7.617667,0.057674,7.558191,0.057223,7.560731,0.057243,7.560731,0.057243,7.558191,0.057223,7.560731,0.057243,7.560731,0.057243,K1
15.860583,0.077983,15.865914,0.078009,15.865914,0.078009,15.860583,0.077983,15.865914,0.078009,15.865914,0.078009,16.391124,0.080592,16.396633,0.080619,16.396633,0.080619,16.391124,0.080592,16.396633,0.080619,16.396633,0.080619,16.375968,0.080517,16.381473,0.080544,16.381473,0.080544,16.375968,0.080517,16.381473,0.080544,16.381473,0.080544,16.333026,0.080306,16.338516,0.080333,16.338516,0.080333,16.333026,0.080306,16.338516,0.080333,16.338516,0.080333,16.21095,0.079706,16.2164,0.079733,16.2164,0.079733,16.21095,0.079706,16.2164,0.079733,16.2164,0.079733,K1
7.854953,0.067411,7.857593,0.067434,7.857593,0.067434,7.854953,0.067411,7.857593,0.067434,7.857593,0.067434,8.117703,0.069666,8.120432,0.06969,8.120432,0.06969,8.117703,0.069666,8.120432,0.06969,8.120432,0.06969,8.110197,0.069602,8.112924,0.069625,8.112924,0.069625,8.110197,0.069602,8.112924,0.069625,8.112924,0.069625,8.08893,0.069419,8.091649,0.069443,8.091649,0.069443,8.08893,0.069419,8.091649,0.069443,8.091649,0.069443,8.028472,0.0689,8.031171,0.068924,8.031171,0.068924,8.028472,0.0689,8.031171,0.068924,8.031171,0.068924,K1
8.107046,0.069003,8.109771,0.069026,8.109771,0.069026,8.107046,0.069003,8.109771,0.069026,8.109771,0.069026,8.378228,0.071311,8.381045,0.071335,8.381045,0.071335,8.378228,0.071311,8.381045,0.071335,8.381045,0.071335,8.370482,0.071245,8.373295,0.071269,8.373295,0.071269,8.370482,0.071245,8.373295,0.071269,8.373295,0.071269,8.348532,0.071058,8.351338,0.071082,8.351338,0.071082,8.348532,0.071058,8.351338,0.071082,8.351338,0.071082,8.286134,0.070527,8.288919,0.070551,8.288919,0.070551,8.286134,0.070527,8.288919,0.070551,8.288919,0.070551,K1
8.820088,0.086503,8.823053,0.086532,8.823053,0.086532,8.820088,0.086503,8.823053,0.086532,8.823053,0.086532,9.115123,0.089397,9.118187,0.089427,9.118187,0.089427,9.115123,0.089397,9.118187,0.089427,9.118187,0.089427,9.106695,0.089314,9.109756,0.089344,9.109756,0.089344,9.106695,0.089314,9.109756,0.089344,9.109756,0.089344,9.082814,0.08908,9.085867,0.08911,9.085867,0.08911,9.082814,0.08908,9.085867,0.08911,9.085867,0.08911,9.014928,0.088414,9.017958,0.088444,9.017958,0.088444,9.014928,0.088414,9.017958,0.088444,9.017958,0.088444,K1
7.473483,0.039853,7.475995,0.039866,7.475995,0.039866,7.473483,0.039853,7.475995,0.039866,7.475995,0.039866,7.723473,0.041186,7.726069,0.0412,7.726069,0.0412,7.723473,0.041186,7.726069,0.0412,7.726069,0.0412,7.716332,0.041148,7.718926,0.041162,7.718926,0.041162,7.716332,0.041148,7.718926,0.041162,7.718926,0.041162,7.696097,0.04104,7.698684,0.041054,7.698684,0.041054,7.696097,0.04104,7.698684,0.041054,7.698684,0.041054,7.638576,0.040733,7.641143,0.040747,7.641143,0.040747,7.638576,0.040733,7.641143,0.040747,7.641143,0.040747,K1
4.924178,0.036874,4.925834,0.036886,4.925834,0.036886,4.924178,0.036874,4.925834,0.036886,4.925834,0.036886,5.088893,0.038107,5.090604,0.03812,5.090604,0.03812,5.088893,0.038107,5.090604,0.03812,5.090604,0.03812,5.084188,0.038072,5.085897,0.038085,5.085897,0.038085,5.084188,0.038072,5.085897,0.038085,5.085897,0.038085,5.070856,0.037972,5.07256,0.037985,5.07256,0.037985,5.070856,0.037972,5.07256,0.037985,5.07256,0.037985,5.032956,0.037688,5.034647,0.037701,5.034647,0.037701,5.032956,0.037688,5.034647,0.037701,5.034647,0.037701,K1
3.816781,0.026742,3.818064,0.026751,3.818064,0.026751,3.816781,0.026742,3.818064,0.026751,3.818064,0.026751,3.944453,0.027637,3.945779,0.027646,3.945779,0.027646,3.944453,0.027637,3.945779,0.027646,3.945779,0.027646,3.940806,0.027611,3.94213,0.02762,3.94213,0.02762,3.940806,0.027611,3.94213,0.02762,3.94213,0.02762,3.930472,0.027539,3.931793,0.027548,3.931793,0.027548,3.930472,0.027539,3.931793,0.027548,3.931793,0.027548,3.901095,0.027333,3.902406,0.027342,3.902406,0.027342,3.901095,0.027333,3.902406,0.027342,3.902406,0.027342,K1
