@attribute 'Gabor Features51' numeric
@attribute 'Gabor Features52' numeric
@attribute 'Gabor Features53' numeric
@attribute 'Gabor Features54' numeric
@attribute 'Gabor Features55' numeric
@attribute 'Gabor Features56' numeric
@attribute 'Gabor Features57' numeric
@attribute 'Gabor Features58' numeric
@attribute 'Gabor Features59' numeric
@attribute class {K1,K2,K3,K4,K5,K6}

@data

7.375683,0.065098,7.378163,0.06512,7.378163,0.06512,7.375683,0.065098,7.378163,0.06512,7.378163,0.06512,7.622402,0.067276,7.624964,0.067298,7.624964,0.067298,7.622402,0.067276,7.624964,0.067298,7.624964,0.067298,7.615354,0.067213,7.617914,0.067236,7.617914,0.067236,7.615354,0.067213,7.617914,0.067236,7.617914,0.067236,7.595384,0.067037,7.597937,0.06706,7.597937,0.06706,7.595384,0.067037,7.597937,0.06706,7.597937,0.06706,7.538615,0.066536,7.541149,0.066558,7.541149,0.066558,7.538615,0.066536,7.541149,0.066558,7.541149,0.066558,K1
7.390606,0.077744,7.393091,0.07777,7.393091,0.07777,7.390606,0.077744,7.393091,0.07777,7.393091,0.07777,7.637824,0.080345,7.640391,0.080372,7.640391,0.080372,7.637824,0.080345,7.640391,0.080372,7.640391,0.080372,7.630762,0.08027,7.633327,0.080297,7.633327,0.080297,7.630762,0.08027,7.633327,0.080297,7.633327,0.080297,7.610752,0.08006,7.61331,0.080087,7.61331,0.080087,7.610752,0.08006,7.61331,0.080087,7.61331,0.080087,7.553868,0.079462,7.556407,0.079488,7.556407,0.079488,7.553868,0.079462,7.556407,0.079488,7.556407,0.079488,K1
5.064731,0.059661,5.066434,0.059681,5.066434,0.059681,5.064731,0.059661,5.066434,0.059681,5.066434,0.059681,5.234148,0.061657,5.235907,0.061678,5.235907,0.061678,5.234148,0.061657,5.235907,0.061678,5.235907,0.061678,5.229308,0.0616,5.231066,0.061621,5.231066,0.061621,5.229308,0.0616,5.231066,0.061621,5.231066,0.061621,5.215596,0.061439,5.217349,0.061459,5.217349,0.061459,5.215596,0.061439,5.217349,0.061459,5.217349,0.061459,5.176614,0.060979,5.178354,0.061,5.178354,0.061,5.176614,0.060979,5.178354,0.061,5.178354,0.061,K1
13.402899,0.115177,13.407404,0.115216,13.407404,0.115216,13.402899,0.115177,13.407404,0.115216,13.407404,0.115216,13.851229,0.11903,13.855885,0.11907,13.855885,0.11907,13.851229,0.11903,13.855885,0.11907,13.855885,0.11907,13.838422,0.11892,13.843073,0.11896,13.843073,0.11896,13.838422,0.11892,13.843073,0.11896,13.843073,0.11896,13.802134,0.118608,13.806773,0.118648,13.806773,0.118648,13.802134,0.118608,13.806773,0.118648,13.806773,0.118648,13.698975,0.117722,13.703579,0.117761,13.703579,0.117761,13.698975,0.117722,13.703579,0.117761,13.703579,0.117761,K1
6.098171,0.053255,6.100221,0.053273,6.100221,0.053273,6.098171,0.053255,6.100221,0.053273,6.100221,0.053273,6.302156,0.055037,6.304275,0.055055,6.304275,0.055055,6.302156,0.055037,6.304275,0.055055,6.304275,0.055055,6.296329,0.054986,6.298446,0.055004,6.298446,0.055004,6.296329,0.054986,6.298446,0.055004,6.298446,0.055004,6.279819,0.054842,6.28193,0.05486,6.28193,0.05486,6.279819,0.054842,6.28193,0.05486,6.28193,0.05486,6.232882,0.054432,6.234978,0.05445,6.234978,0.05445,6.232882,0.054432,6.234978,0.05445,6.234978,0.05445,K1
6.179317,0.053106,6.181394,0.053124,6.181394,0.053124,6.179317,0.053106,6.181394,0.053124,6.181394,0.053124,6.386016,0.054882,6.388163,0.054901,6.388163,0.054901,6.386016,0.054882,6.388163,0.054901,6.388163,0.054901,6.380112,0.054832,6.382256,0.05485,6.382256,0.05485,6.380112,0.054832,6.382256,0.05485,6.382256,0.05485,6.363381,0.054688,6.36552,0.054706,6.36552,0.054706,6.363381,0.054688,6.36552,0.054706,6.36552,0.054706,6.315821,0.054279,6.317944,0.054297,6.317944,0.054297,6.315821,0.054279,6.317944,0.054297,6.317944,0.054297,K1
5.713086,0.061326,5.715006,0.061347,5.715006,0.061347,5.713086,0.061326,5.715006,0.061347,5.715006,0.061347,5.90419,0.063378,5.906174,0.063399,5.906174,0.063399,5.90419,0.063378,5.906174,0.063399,5.906174,0.063399,5.898731,0.063319,5.900713,0.06334,5.900713,0.06334,5.898731,0.063319,5.900713,0.06334,5.900713,0.06334,5.883262,0.063153,5.88524,0.063174,5.88524,0.063174,5.883262,0.063153,5.88524,0.063174,5.88524,0.063174,5.83929,0.062681,5.841253,0.062702,5.841253,0.062702,5.83929,0.062681,5.841253,0.062702,5.841253,0.062702,K1
6.723363,0.051478,6.725623,0.051495,6.725623,0.051495,6.723363,0.051478,6.725623,0.051495,6.725623,0.051495,6.948261,0.0532,6.950597,0.053217,6.950597,0.053217,6.948261,0.0532,6.950597,0.053217,6.950597,0.053217,6.941836,0.05315,6.94417,0.053168,6.94417,0.053168,6.941836,0.05315,6.94417,0.053168,6.94417,0.053168,6.923633,0.053011,6.92596,0.053029,6.92596,0.053029,6.923633,0.053011,6.92596,0.053029,6.92596,0.053029,6.871885,0.052615,6.874195,0.052632,6.874195,0.052632,6.871885,0.052615,6.874195,0.052632,6.874195,0.052632,K1
3.994981,0.041125,3.996324,0.041139,3.996324,0.041139,3.994981,0.041125,3.996324,0.041139,3.996324,0.041139,4.128614,0.042501,4.130002,0.042515,4.130002,0.042515,4.128614,0.042501,4.130002,0.042515,4.130002,0.042515,4.124797,0.042461,4.126183,0.042476,4.126183,0.042476,4.124797,0.042461,4.126183,0.042476,4.126183,0.042476,4.11398,0.04235,4.115363,0.042364,4.115363,0.042364,4.11398,0.04235,4.115363,0.042364,4.115363,0.042364,4.083232,0.042033,4.084604,0.042047,4.084604,0.042047,4.083232,0.042033,4.084604,0.042047,4.084604,0.042047,K1
3.151575,0.026012,3.152634,0.026021,3.152634,0.026021,3.151575,0.026012,3.152634,0.026021,3.152634,0.026021,3.256996,0.026882,3.258091,0.026891,3.258091,0.026891,3.256996,0.026882,3.258091,0.026891,3.258091,0.026891,3.253984,0.026857,3.255078,0.026866,3.255078,0.026866,3.253984,0.026857,3.255078,0.026866,3.255078,0.026866,3.245452,0.026787,3.246542,0.026796,3.246542,0.026796,3.245452,0.026787,3.246542,0.026796,3.246542,0.026796,3.221195,0.026587,3.222277,0.026596,3.222277,0.026596,3.221195,0.026587,3.222277,0.026596,3.222277,0.026596,K1
