@attribute 'Gabor Features51' numeric
@attribute 'Gabor Features52' numeric
@attribute 'Gabor Features53' numeric
@attribute 'Gabor Features54' numeric
@attribute 'Gabor Features55' numeric
@attribute 'Gabor Features56' numeric
@attribute 'Gabor Features57' numeric
@attribute 'Gabor Features58' numeric
@attribute 'Gabor Features59' numeric
@attribute class {K1,K2,K3,K4,K5,K6,K7,K8}

@data

3.319301,0.080374,3.320416,0.080401,3.320416,0.080401,3.319301,0.080374,3.320416,0.080401,3.320416,0.080401,3.430332,0.083063,3.431485,0.083091,3.431485,0.083091,3.430332,0.083063,3.431485,0.083091,3.431485,0.083091,3.42716,0.082986,3.428312,0.083014,3.428312,0.083014,3.42716,0.082986,3.428312,0.083014,3.428312,0.083014,3.418173,0.082769,3.419322,0.082796,3.419322,0.082796,3.418173,0.082769,3.419322,0.082796,3.419322,0.082796,3.392626,0.08215,3.393766,0.082178,3.393766,0.082178,3.392626,0.08215,3.393766,0.082178,3.393766,0.082178,K1
2.862207,0.077804,2.86317,0.07783,2.86317,0.07783,2.862207,0.077804,2.86317,0.07783,2.86317,0.07783,2.957949,0.080406,2.958943,0.080433,2.958943,0.080433,2.957949,0.080406,2.958943,0.080433,2.958943,0.080433,2.955214,0.080332,2.956207,0.080359,2.956207,0.080359,2.955214,0.080332,2.956207,0.080359,2.956207,0.080359,2.947465,0.080121,2.948455,0.080148,2.948455,0.080148,2.947465,0.080121,2.948455,0.080148,2.948455,0.080148,2.925435,0.079522,2.926418,0.079549,2.926418,0.079549,2.925435,0.079522,2.926418,0.079549,2.926418,0.079549,K1
1.917013,0.060879,1.917658,0.060899,1.917658,0.060899,1.917013,0.060879,1.917658,0.060899,1.917658,0.060899,1.981138,0.062915,1.981804,0.062936,1.981804,0.062936,1.981138,0.062915,1.981804,0.062936,1.981804,0.062936,1.979306,0.062857,1.979971,0.062878,1.979971,0.062878,1.979306,0.062857,1.979971,0.062878,1.979971,0.062878,1.974116,0.062692,1.974779,0.062713,1.974779,0.062713,1.974116,0.062692,1.974779,0.062713,1.974779,0.062713,1.959361,0.062224,1.96002,0.062244,1.96002,0.062244,1.959361,0.062224,1.96002,0.062244,1.96002,0.062244,K1
0.799031,0.0352,0.7993,0.035212,0.7993,0.035212,0.799031,0.0352,0.7993,0.035212,0.7993,0.035212,0.825759,0.036378,0.826037,0.03639,0.826037,0.03639,0.825759,0.036378,0.826037,0.03639,0.826037,0.03639,0.824996,0.036344,0.825273,0.036356,0.825273,0.036356,0.824996,0.036344,0.825273,0.036356,0.825273,0.036356,0.822832,0.036249,0.823109,0.036261,0.823109,0.036261,0.822832,0.036249,0.823109,0.036261,0.823109,0.036261,0.816682,0.035978,0.816957,0.03599,0.816957,0.03599,0.816682,0.035978,0.816957,0.03599,0.816957,0.03599,K1
3.852105,0.089641,3.8534,0.089671,3.8534,0.089671,3.852105,0.089641,3.8534,0.089671,3.8534,0.089671,3.980959,0.092639,3.982297,0.09267,3.982297,0.09267,3.980959,0.092639,3.982297,0.09267,3.982297,0.09267,3.977278,0.092554,3.978615,0.092585,3.978615,0.092585,3.977278,0.092554,3.978615,0.092585,3.978615,0.092585,3.966849,0.092311,3.968182,0.092342,3.968182,0.092342,3.966849,0.092311,3.968182,0.092342,3.968182,0.092342,3.9372,0.091621,3.938523,0.091652,3.938523,0.091652,3.9372,0.091621,3.938523,0.091652,3.938523,0.091652,K1
2.980825,0.071772,2.981827,0.071797,2.981827,0.071797,2.980825,0.071772,2.981827,0.071797,2.981827,0.071797,3.080534,0.074173,3.08157,0.074198,3.08157,0.074198,3.080534,0.074173,3.08157,0.074198,3.08157,0.074198,3.077686,0.074105,3.078721,0.07413,3.078721,0.07413,3.077686,0.074105,3.078721,0.07413,3.078721,0.07413,3.069616,0.07391,3.070647,0.073935,3.070647,0.073935,3.069616,0.07391,3.070647,0.073935,3.070647,0.073935,3.046673,0.073358,3.047697,0.073383,3.047697,0.073383,3.046673,0.073358,3.047697,0.073383,3.047697,0.073383,K1
2.960007,0.076828,2.961002,0.076854,2.961002,0.076854,2.960007,0.076828,2.961002,0.076854,2.961002,0.076854,3.05902,0.079398,3.060049,0.079424,3.060049,0.079424,3.05902,0.079398,3.060049,0.079424,3.060049,0.079424,3.056192,0.079324,3.057219,0.079351,3.057219,0.079351,3.056192,0.079324,3.057219,0.079351,3.057219,0.079351,3.048178,0.079116,3.049202,0.079143,3.049202,0.079143,3.048178,0.079116,3.049202,0.079143,3.049202,0.079143,3.025395,0.078525,3.026412,0.078551,3.026412,0.078551,3.025395,0.078525,3.026412,0.078551,3.026412,0.078551,K1
1.254371,0.040203,1.254793,0.040217,1.254793,0.040217,1.254371,0.040203,1.254793,0.040217,1.254793,0.040217,1.296331,0.041548,1.296766,0.041562,1.296766,0.041562,1.296331,0.041548,1.296766,0.041562,1.296766,0.041562,1.295132,0.041509,1.295567,0.041523,1.295567,0.041523,1.295132,0.041509,1.295567,0.041523,1.295567,0.041523,1.291736,0.041401,1.29217,0.041414,1.29217,0.041414,1.291736,0.041401,1.29217,0.041414,1.29217,0.041414,1.282081,0.041091,1.282512,0.041105,1.282512,0.041105,1.282081,0.041091,1.282512,0.041105,1.282512,0.041105,K1
2.48054,0.065156,2.481374,0.065178,2.481374,0.065178,2.48054,0.065156,2.481374,0.065178,2.481374,0.065178,2.563515,0.067335,2.564377,0.067358,2.564377,0.067358,2.563515,0.067335,2.564377,0.067358,2.564377,0.067358,2.561145,0.067273,2.562006,0.067296,2.562006,0.067296,2.561145,0.067273,2.562006,0.067296,2.562006,0.067296,2.554429,0.067097,2.555287,0.067119,2.555287,0.067119,2.554429,0.067097,2.555287,0.067119,2.555287,0.067119,2.535337,0.066595,2.536189,0.066618,2.536189,0.066618,2.535337,0.066595,2.536189,0.066618,2.536189,0.066618,K1
2.611145,0.074683,2.612022,0.074708,2.612022,0.074708,2.611145,0.074683,2.612022,0.074708,2.612022,0.074708,2.698488,0.077181,2.699395,0.077207,2.699395,0.077207,2.698488,0.077181,2.699395,0.077207,2.699395,0.077207,2.695993,0.07711,2.696899,0.077136,2.696899,0.077136,2.695993,0.07711,2.696899,0.077136,2.696899,0.077136,2.688923,0.076907,2.689827,0.076933,2.689827,0.076933,2.688923,0.076907,2.689827,0.076933,2.689827,0.076933,2.668826,0.076333,2.669723,0.076358,2.669723,0.076358,2.668826,0.076333,2.669723,0.076358,2.669723,0.076358,K1
